PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
PELHAM BAY PARK,BRONX        ,2771.747,0,0,0,0,1,1,0,2,2014,Jan,March
VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,2,3,3,3,0,11,2014,Jan,March
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,0,0,2,2,0,8,0,12,2014,Jan,March
FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0,2014,Jan,March
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,2,4,4,21,2,33,2014,Jan,March
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,1,0,0,1,2014,Jan,March
MARINE PARK,BROOKLYN     ,798,0,0,0,0,0,1,0,1,2014,Jan,March
BELT PARKWAY/SHORE PARKWAY,BROOKLYN,760.43,0,0,0,0,0,0,0,0,2014,Jan,March
BRONX PARK,BRONX        ,718.373,0,0,1,0,0,2,0,3,2014,Jan,March
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,1,0,1,2014,Jan,March
ALLEY POND PARK,QUEENS       ,635.514,0,0,0,0,0,0,0,0,2014,Jan,March
PROSPECT PARK,BROOKLYN     ,526.25,0,0,2,1,0,2,0,5,2014,Jan,March
FOREST PARK,QUEENS       ,506.86,0,0,3,1,0,3,0,7,2014,Jan,March
GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0,2014,Jan,March
FERRY POINT PARK,BRONX        ,413.8,0,0,0,1,0,1,0,2,2014,Jan,March
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,0,3,2,1,0,8,0,14,2014,Jan,March
CUNNINGHAM PARK,QUEENS       ,358,0,0,0,0,0,2,0,2,2014,Jan,March
RICHMOND PARKWAY,STATEN ISLAND,350.983,0,0,0,0,0,0,0,0,2014,Jan,March
CROSS ISLAND PARKWAY,QUEENS       ,326.895,0,0,0,0,0,0,0,0,2014,Jan,March
GREAT KILLS PARK,STATEN ISLAND,315.094,0,0,0,0,0,0,0,0,2014,Jan,March
WOLFE'S POND PARK,STATEN ISLAND,302.693,0,0,0,0,0,0,0,0,2014,Jan,March
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,0,0,0,0,0,0,0,0,2014,Jan,March
RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,0,0,0,0,1,15,0,16,2014,Jan,March
ROCKAWAY COMMUNITY PARK,QUEENS       ,255.4,0,0,0,0,0,0,0,0,2014,Jan,March
KISSENA PARK,QUEENS       ,237.147,0,0,0,0,0,1,0,1,2014,Jan,March
RIVERSIDE PARK,MANHATTAN    ,235.765,0,0,3,0,1,16,0,20,2014,Jan,March
HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0,2014,Jan,March
BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0,2014,Jan,March
DYKER BEACH PARK,BROOKLYN     ,216.655,0,0,0,0,0,0,0,0,2014,Jan,March
WILLOWBROOK PARK,STATEN ISLAND,214.947,0,0,0,0,0,0,0,0,2014,Jan,March
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,0,0,0,0,0,0,0,0,2014,Jan,March
SILVER LAKE PARK,STATEN ISLAND,205.977,0,0,0,0,0,0,0,0,2014,Jan,March
BRONX RIVER PARKWAY,BRONX        ,205.647,0,0,0,0,0,0,0,0,2014,Jan,March
SOUNDVIEW PARK,BRONX        ,205.31,0,1,0,0,0,1,0,2,2014,Jan,March
BELT PARKWAY,QUEENS       ,202.647,0,0,0,0,0,0,0,0,2014,Jan,March
WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,0,0,0,0,0,0,0,0,2014,Jan,March
INWOOD HILL PARK,MANHATTAN    ,196.398,0,0,1,0,0,0,0,1,2014,Jan,March
CLOVE LAKES PARK,STATEN ISLAND,193.423,0,0,0,0,0,0,0,0,2014,Jan,March
FORT WASHINGTON PARK,MANHATTAN    ,184.143,0,0,0,0,0,0,0,0,2014,Jan,March
IDLEWILD PARK,QUEENS       ,180.85,0,0,0,0,0,0,0,0,2014,Jan,March
WARDS ISLAND PARK,MANHATTAN    ,176.581,0,0,0,0,0,0,0,0,2014,Jan,March
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,0,0,0,0,0,0,0,0,2014,Jan,March
SAW MILL CREEK MARSH,STATEN ISLAND,171.778,0,0,0,0,0,0,0,0,2014,Jan,March
BLOOD ROOT VALLEY,STATEN ISLAND,161.242,0,0,0,0,0,0,0,0,2014,Jan,March
JAMAICA BAY PARK,QUEENS       ,149.54,0,0,0,0,0,0,0,0,2014,Jan,March
KISSENA CORRIDOR PARK,QUEENS       ,146.81,0,0,0,0,0,0,0,0,2014,Jan,March
HIGHLAND PARK,BROOKLYN,146.339,0,0,2,0,0,0,0,2,2014,Jan,March
ARDEN WOODS,STATEN ISLAND,145.864,0,0,0,0,0,0,0,0,2014,Jan,March
RIVERDALE PARK,BRONX        ,144.29,0,0,0,0,0,0,0,0,2014,Jan,March
OCEAN PARKWAY MALLS,BROOKLYN     ,140,0,0,0,0,0,0,0,0,2014,Jan,March
BLOOMINGDALE PARK,STATEN ISLAND,138.1,0,0,0,0,0,0,0,0,2014,Jan,March
OCEAN BREEZE PARK,STATEN ISLAND,136.568,0,0,0,0,0,0,0,0,2014,Jan,March
CANARSIE PARK,BROOKLYN     ,132.2,0,0,0,0,0,0,0,0,2014,Jan,March
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.1,0,0,2,2,0,1,0,5,2014,Jan,March
CROTONA PARK,BRONX        ,127.5,0,0,3,0,1,5,1,10,2014,Jan,March
PAERDEGAT BASIN PARK,BROOKLYN     ,118.795,0,0,0,0,0,0,0,0,2014,Jan,March
HOOK CREEK PARK,QUEENS       ,111.163,0,0,0,0,0,0,0,0,2014,Jan,March
CRESCENT BEACH PARK,STATEN ISLAND,110.96,0,0,0,0,0,0,0,0,2014,Jan,March
CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93,0,0,0,0,0,0,0,0,2014,Jan,March
BAISLEY POND PARK,QUEENS       ,109.609,0,0,0,0,0,1,0,1,2014,Jan,March
PELHAM PARKWAY,BRONX        ,108.91,0,0,0,0,0,0,0,0,2014,Jan,March
PRALLS ISLAND,STATEN ISLAND,107.514,0,0,0,0,0,0,0,0,2014,Jan,March
MARINERS MARSH PARK,STATEN ISLAND,107.2,0,0,0,0,0,0,0,0,2014,Jan,March
DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.6,0,0,0,0,0,0,0,0,2014,Jan,March
LEMON CREEK PARK,STATEN ISLAND,104.545,0,0,0,0,0,0,0,0,2014,Jan,March
SPRING CREEK PARK,BROOKLYN,99.566,0,0,0,0,0,0,0,0,2014,Jan,March
HIGH ROCK PARK,STATEN ISLAND,94.1,0,0,0,0,0,0,0,0,2014,Jan,March
LONG POND PARK,STATEN ISLAND,91.948,0,0,0,0,0,0,0,0,2014,Jan,March
BROOKVILLE PARK,QUEENS       ,89.946,0,0,1,0,0,0,0,1,2014,Jan,March
ISLE OF MEADOWS,STATEN ISLAND,87.516,0,0,0,0,0,0,0,0,2014,Jan,March
CALVERT VAUX PARK,BROOKLYN     ,85.527,0,0,1,0,0,3,0,4,2014,Jan,March
PUGSLEY CREEK PARK,BRONX        ,83.615,0,0,1,1,0,0,0,2,2014,Jan,March
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.3,0,0,0,0,0,0,0,0,2014,Jan,March
MOSHOLU PARKWAY,BRONX        ,80.936,0,0,1,0,0,0,0,1,2014,Jan,March
MCGUIRE FIELDS,BROOKLYN     ,77.181,0,0,0,0,0,0,0,0,2014,Jan,March
FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.044,0,0,0,0,0,0,0,0,2014,Jan,March
JACKIE ROBINSON PARKWAY,BROOKLYN,72.75,0,0,0,0,0,0,0,0,2014,Jan,March
FORT TRYON PARK,MANHATTAN    ,67.213,0,0,3,0,0,1,0,4,2014,Jan,March
RIVERSIDE PARK SOUTH,MANHATTAN    ,66.693,0,0,0,0,0,0,0,0,2014,Jan,March
EASTERN PARKWAY,BROOKLYN     ,65.7,0,0,0,0,0,0,0,0,2014,Jan,March
FOUR SPARROW MARSH,BROOKLYN     ,64.665,0,0,0,0,0,0,0,0,2014,Jan,March
FORT TOTTEN PARK,QUEENS       ,60.394,0,0,0,0,0,0,0,0,2014,Jan,March
ASTORIA PARK,QUEENS       ,59.956,0,0,0,0,0,1,0,1,2014,Jan,March
LAURELTON PARKWAY,QUEENS       ,59.612,0,0,0,0,0,0,0,0,2014,Jan,March
RED HOOK RECREATION AREA,BROOKLYN     ,58.503,0,0,0,1,0,0,0,1,2014,Jan,March
SHORE PARK AND PARKWAY,BROOKLYN     ,58,0,0,1,0,0,0,0,1,2014,Jan,March
SPRING CREEK PARK ADDITION,BROOKLYN,57.921,0,0,0,0,0,0,0,0,2014,Jan,March
JUNIPER VALLEY PARK,QUEENS       ,55.639,0,0,0,0,0,1,0,1,2014,Jan,March
LITTLE BAY PARK,QUEENS       ,55.22,0,0,0,0,0,0,0,0,2014,Jan,March
POWELL'S COVE PARK,QUEENS       ,55.023,0,0,0,0,0,0,0,0,2014,Jan,March
HENRY HUDSON PARKWAY,BRONX        ,54.1,0,0,0,0,0,0,0,0,2014,Jan,March
HARLEM RIVER PARK,MANHATTAN    ,53.967,0,0,0,0,0,0,0,0,2014,Jan,March
DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.298,0,0,0,0,0,0,0,0,2014,Jan,March
ROY WILKINS RECREATION CENTER,QUEENS       ,53.238,0,0,1,0,0,3,0,4,2014,Jan,March
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,0,0,0,0,0,0,0,0,2014,Jan,March
BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.57,0,0,0,0,0,0,0,0,2014,Jan,March
MEREDITH WOODS,STATEN ISLAND,47.521,0,0,0,0,0,0,0,0,2014,Jan,March
QUEENS FARM PARK,QUEENS       ,47.08,0,0,0,0,0,0,0,0,2014,Jan,March
EAST RIVER PARK,MANHATTAN    ,45.88,0,0,2,0,0,6,0,8,2014,Jan,March
CROCHERON PARK,QUEENS       ,45.79,0,0,0,0,0,0,0,0,2014,Jan,March
MACOMBS DAM PARK,BRONX        ,44.174,0,0,0,0,0,5,0,5,2014,Jan,March
MANHATTAN BEACH PARK,BROOKLYN     ,42.941,0,0,0,0,0,0,0,0,2014,Jan,March
UDALL'S PARK PRESERVE,QUEENS       ,42.768,0,0,0,0,0,0,0,0,2014,Jan,March
FAIRVIEW PARK,STATEN ISLAND,42.6,0,0,0,0,0,0,0,0,2014,Jan,March
BAYSWATER PARK,QUEENS       ,40.07,0,0,0,0,0,0,0,0,2014,Jan,March
DEERE PARK,STATEN ISLAND,39.779,0,0,0,0,0,0,0,0,2014,Jan,March
PARADE GROUND,BROOKLYN     ,39.5,0,0,1,1,0,5,0,7,2014,Jan,March
CLAREMONT PARK,BRONX        ,38.536,0,0,2,0,0,0,0,2,2014,Jan,March
BROAD CHANNEL WETLANDS,QUEENS       ,37.95,0,0,0,0,0,0,0,0,2014,Jan,March
CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.81,0,0,0,0,0,1,0,1,2014,Jan,March
BUNKER PONDS PARK,STATEN ISLAND,36.691,0,0,0,0,0,0,0,0,2014,Jan,March
SETON FALLS PARK,BRONX        ,35.771,0,0,1,1,0,0,0,2,2014,Jan,March
MCCARREN PARK,BROOKLYN     ,35.713,0,0,1,1,0,7,0,9,2014,Jan,March
ST. MARY'S PARK BRONX,BRONX        ,35.311,0,0,0,0,0,3,0,3,2014,Jan,March
SHOOTERS ISLAND,STATEN ISLAND,34.689,0,0,0,0,0,0,0,0,2014,Jan,March
NORTH BROTHER ISLAND,BRONX        ,30.395,0,0,0,0,0,0,0,0,2014,Jan,March
FORT GREENE PARK,BROOKLYN     ,30.168,0,0,2,1,0,0,0,3,2014,Jan,March
BATTERY PARK CITY,MANHATTAN    ,29.99,0,0,0,0,0,0,0,0,2014,Jan,March
MORNINGSIDE PARK,MANHATTAN    ,29.888,0,0,0,0,0,4,0,4,2014,Jan,March
MACNEIL PARK,QUEENS       ,28.87,0,0,0,0,0,0,0,0,2014,Jan,March
ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.531,0,0,0,0,0,0,0,0,2014,Jan,March
VERNAM BARBADOES PENINSULA,QUEENS       ,27.484,0,0,0,0,0,0,0,0,2014,Jan,March
COLLEGE POINT FIELDS,QUEENS       ,26.83,0,0,0,0,0,0,0,0,2014,Jan,March
KAISER PARK,BROOKLYN     ,26.257,0,0,0,1,0,0,0,1,2014,Jan,March
SUNSET PARK,BROOKLYN     ,24.498,0,0,4,1,0,0,0,5,2014,Jan,March
OWL'S HEAD PARK,BROOKLYN     ,24.218,0,0,0,0,0,0,0,0,2014,Jan,March
SPRINGFIELD PARK,QUEENS       ,23.543,0,0,0,0,0,0,0,0,2014,Jan,March
RECREATIONAL AREA,MANHATTAN    ,23.093,0,0,0,0,0,0,0,0,2014,Jan,March
KING FISHER PARK,STATEN ISLAND,23.01,0,0,0,0,0,0,0,0,2014,Jan,March
SIEDENBURG PARK,STATEN ISLAND,22.882,0,0,0,0,0,0,0,0,2014,Jan,March
ST. NICHOLAS PARK,MANHATTAN    ,22.74,0,0,2,1,0,0,0,3,2014,Jan,March
SOUTH BROTHER ISLAND,BRONX        ,22.16,0,0,0,0,0,0,0,0,2014,Jan,March
LOCUST POINT MARINA,BRONX        ,22.07,0,0,0,0,0,0,0,0,2014,Jan,March
BATTERY PARK,MANHATTAN    ,21.88,0,0,0,0,0,2,0,2,2014,Jan,March
BROOKLYN BRIDGE PARK,BROOKLYN     ,21.185,0,0,2,0,0,9,0,11,2014,Jan,March
ASSER LEVY PARK,BROOKLYN     ,21.039,0,0,0,0,0,0,0,0,2014,Jan,March
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,0,0,0,0,0,0,0,0,2014,Jan,March
WAVE HILL,BRONX        ,20.867,0,0,0,0,0,0,0,0,2014,Jan,March
QUEENSBRIDGE PARK,QUEENS       ,20.34,0,0,0,0,0,0,0,0,2014,Jan,March
MARCUS GARVEY PARK,MANHATTAN    ,20.165,0,0,1,1,0,2,0,4,2014,Jan,March
ISHAM PARK,MANHATTAN    ,20.132,0,0,1,0,0,0,0,1,2014,Jan,March
WILLIAMSBRIDGE OVAL,BRONX        ,19.749,0,0,0,0,0,2,0,2,2014,Jan,March
BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.556,0,0,0,0,0,0,0,0,2014,Jan,March
BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.768,0,0,0,0,0,0,0,0,2014,Jan,March
THEODORE ROOSEVELT PARK,MANHATTAN    ,17.574,0,0,0,0,0,0,0,0,2014,Jan,March
BENSONHURST PARK,BROOKLYN     ,17.5,0,0,0,0,0,1,0,1,2014,Jan,March
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.14,0,0,0,1,0,2,0,3,2014,Jan,March
JOHN GOLDEN PARK,QUEENS       ,17,0,0,0,0,0,0,0,0,2014,Jan,March
BAYVIEW TERRACE PARK,STATEN ISLAND,16.944,0,0,0,0,0,0,0,0,2014,Jan,March
JONES WOODS PARK,STATEN ISLAND,16.93,0,0,0,0,0,0,0,0,2014,Jan,March
FRANCIS LEWIS PARK,QUEENS       ,16.831,0,0,0,0,0,1,0,1,2014,Jan,March
LEIF ERICSON PARK,BROOKLYN     ,16.8,0,0,0,0,0,0,0,0,2014,Jan,March
EIBS POND PARK,STATEN ISLAND,16.505,0,0,0,0,0,0,0,0,2014,Jan,March
RAILROAD PARK QUEENS,QUEENS       ,16.439,0,0,0,0,0,0,0,0,2014,Jan,March
BREUKELEN BALLFIELDS,BROOKLYN     ,16.16,0,0,0,0,0,0,0,0,2014,Jan,March
FRANZ SIGEL PARK,BRONX        ,15.99,0,0,0,0,0,0,0,0,2014,Jan,March
ALICE AUSTEN PARK,STATEN ISLAND,15.524,0,0,0,0,0,0,0,0,2014,Jan,March
THOMAS JEFFERSON PARK,MANHATTAN    ,15.524,0,0,3,3,0,3,0,9,2014,Jan,March
MILL POND PARK,BRONX        ,15.496,0,0,0,0,0,0,0,0,2014,Jan,March
SHERMAN CREEK,MANHATTAN    ,15.383,0,0,0,0,0,0,0,0,2014,Jan,March
HARRIS PARK,BRONX        ,15.32,0,0,0,0,0,0,0,0,2014,Jan,March
GOODHUE,STATEN ISLAND,15.064,0,0,0,0,0,0,0,0,2014,Jan,March
MULLALY PARK,BRONX        ,15.049,0,0,2,3,0,1,0,6,2014,Jan,March
TREMONT PARK,BRONX        ,15,0,0,0,0,0,0,0,0,2014,Jan,March
CARL SCHURZ PARK,MANHATTAN    ,14.938,0,0,0,0,0,0,0,0,2014,Jan,March
GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.257,0,0,0,0,0,0,0,0,2014,Jan,March
VON BRIESEN PARK,STATEN ISLAND,13.938,0,0,0,0,0,0,0,0,2014,Jan,March
MOTOR PARKWAY,QUEENS       ,13.894,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.826,0,0,0,0,0,0,0,0,2014,Jan,March
BEACH 17 PLAYGROUND,QUEENS       ,13.75,0,0,0,0,0,0,0,0,2014,Jan,March
TUDOR PARK,QUEENS       ,13.543,0,0,0,0,0,0,0,0,2014,Jan,March
AQUEDUCT WALK,BRONX        ,13.533,0,0,0,0,0,0,0,0,2014,Jan,March
FATHER MACRIS PARK,STATEN ISLAND,13.469,0,0,0,0,0,0,0,0,2014,Jan,March
STARLIGHT PARK,BRONX        ,12.93,0,0,0,0,0,0,0,0,2014,Jan,March
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,12.772,0,0,0,1,0,1,0,2,2014,Jan,March
BROOKLYN MUSEUM,BROOKLYN     ,12.66,0,0,0,0,0,0,0,0,2014,Jan,March
BEACH CHANNEL PARK,QUEENS       ,12.624,0,0,0,0,0,0,0,0,2014,Jan,March
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.247,0,0,0,0,0,0,0,0,2014,Jan,March
BOWNE PARK,QUEENS       ,11.788,0,0,0,1,0,0,0,1,2014,Jan,March
SETON PARK,BRONX        ,11.689,0,0,0,0,0,0,0,0,2014,Jan,March
RUFUS KING PARK,QUEENS       ,11.5,0,0,2,2,0,1,0,5,2014,Jan,March
FRANK GOLDEN PARK,QUEENS       ,11.422,0,0,0,0,0,0,0,0,2014,Jan,March
ST. JAMES PARK,BRONX        ,11.39,0,0,2,3,0,1,0,6,2014,Jan,March
RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,0,0,0,0,0,0,0,0,2014,Jan,March
BARRETTO POINT PARK,BRONX        ,11.161,0,0,0,0,0,0,0,0,2014,Jan,March
ST. ALBANS PARK,QUEENS       ,10.79,0,0,0,0,0,0,0,0,2014,Jan,March
GEMINI FIELDS,QUEENS       ,10.761,0,0,0,0,0,0,0,0,2014,Jan,March
GIVANS CREEK WOODS,BRONX        ,10.735,0,0,0,0,0,0,0,0,2014,Jan,March
BETSY HEAD PARK,BROOKLYN     ,10.555,0,0,1,0,1,0,0,2,2014,Jan,March
TOMPKINS SQUARE PARK,MANHATTAN    ,10.502,0,0,0,0,0,2,0,2,2014,Jan,March
CPL. THOMPSON PARK,STATEN ISLAND,10.5,0,0,0,0,0,0,0,0,2014,Jan,March
COMMODORE BARRY PARK,BROOKLYN     ,10.391,0,0,0,0,0,1,0,1,2014,Jan,March
CADMAN PLAZA PARK,BROOKLYN     ,10.384,0,0,0,0,0,1,0,1,2014,Jan,March
BROADWAY MALLS,MANHATTAN    ,10.242,0,0,0,0,0,1,0,1,2014,Jan,March
STEEPLECHASE PARK,BROOKLYN     ,10.01,0,0,0,0,0,0,0,0,2014,Jan,March
HUNTER'S POINT SOUTH PARK,QUEENS       ,10,0,0,1,0,0,0,0,1,2014,Jan,March
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,0,0,0,0,0,0,0,0,2014,Jan,March
HYBRID OAK WOODS PARK,STATEN ISLAND,9.763,0,0,0,0,0,0,0,0,2014,Jan,March
WASHINGTON SQUARE PARK,MANHATTAN    ,9.749,0,0,0,0,0,3,0,3,2014,Jan,March
BRYANT PARK,MANHATTAN    ,9.603,0,0,0,0,0,6,0,6,2014,Jan,March
ROCKAWAY FREEWAY,QUEENS       ,9.404,0,0,0,0,0,0,0,0,2014,Jan,March
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.395,0,0,0,0,0,0,0,0,2014,Jan,March
SUNSET COVE PARK,QUEENS       ,9.375,0,0,0,0,0,0,0,0,2014,Jan,March
ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.339,0,0,0,0,0,0,0,0,2014,Jan,March
LINDEN PARK,BROOKLYN     ,9.322,0,0,0,0,0,1,0,1,2014,Jan,March
HAFFEN PARK,BRONX        ,9.238,0,0,0,1,0,0,0,1,2014,Jan,March
ALLISON POND PARK,STATEN ISLAND,9.2,0,0,0,0,0,0,0,0,2014,Jan,March
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,0,0,0,0,0,0,0,0,2014,Jan,March
TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,0,0,0,0,0,0,0,0,2014,Jan,March
CAPTAIN TILLY PARK,QUEENS       ,9.16,0,0,1,1,0,0,0,2,2014,Jan,March
HARVEY PARK,QUEENS       ,9.154,0,0,0,0,0,0,0,0,2014,Jan,March
MSGR. MCGOLRICK PARK,BROOKLYN     ,9.134,0,0,0,0,0,0,0,0,2014,Jan,March
BUSHWICK INLET PARK,BROOKLYN     ,9.01,0,0,0,0,0,1,0,1,2014,Jan,March
HENRY HUDSON PARK,BRONX        ,8.972,0,0,0,0,0,0,0,0,2014,Jan,March
FRANK PRINCIPE PARK,QUEENS       ,8.899,0,0,0,0,0,0,0,0,2014,Jan,March
CASTLE HILL PARK,BRONX        ,8.834,0,0,0,0,0,0,0,0,2014,Jan,March
ROCHDALE PARK,QUEENS       ,8.833,0,0,0,1,0,0,0,1,2014,Jan,March
ABE STARK SKATING RINK,BROOKLYN     ,8.807,0,0,0,0,0,0,0,0,2014,Jan,March
CITY HALL PARK,MANHATTAN    ,8.8,0,0,0,0,0,0,0,0,2014,Jan,March
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.761,0,0,0,0,0,0,0,0,2014,Jan,March
CROTONA PARKWAY MALLS,BRONX        ,8.75,0,0,0,0,0,1,0,1,2014,Jan,March
CONEY ISLAND CREEK PARK,BROOKLYN     ,8.663,0,0,0,0,0,0,0,0,2014,Jan,March
MILL ROCK PARK,MANHATTAN    ,8.639,0,0,0,0,0,0,0,0,2014,Jan,March
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.595,0,0,0,0,0,0,0,0,2014,Jan,March
JOHN J CARTY PARK,BROOKLYN     ,8.565,0,0,0,0,0,0,0,0,2014,Jan,March
COFFEY PARK,BROOKLYN     ,8.271,0,0,0,1,0,0,0,1,2014,Jan,March
BARRETT PARK,STATEN ISLAND,8.108,0,0,0,0,0,0,0,0,2014,Jan,March
RAINEY PARK QUEENS,QUEENS       ,8.09,0,0,0,0,0,0,0,0,2014,Jan,March
LAGUARDIA LANDING LIGHTS,QUEENS       ,8.03,0,0,0,0,0,0,0,0,2014,Jan,March
CITY ISLAND WETLANDS,BRONX        ,8.005,0,0,0,1,0,0,0,1,2014,Jan,March
SARA D. ROOSEVELT PARK,MANHATTAN    ,7.85,0,0,1,0,0,4,0,5,2014,Jan,March
EWEN PARK,BRONX        ,7.84,0,0,2,0,0,0,0,2,2014,Jan,March
HERBERT VON KING PARK,BROOKLYN     ,7.819,0,0,1,0,0,0,0,1,2014,Jan,March
MOUNT PROSPECT PARK,BROOKLYN     ,7.79,0,0,0,0,0,0,0,0,2014,Jan,March
RAINEY PARK BRONX,BRONX        ,7.738,0,0,1,1,0,1,0,3,2014,Jan,March
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,0,0,0,0,0,1,0,1,2014,Jan,March
FLUSHING FIELDS,QUEENS       ,7.671,0,0,0,0,0,0,0,0,2014,Jan,March
PALMER INLET,BRONX        ,7.49,0,0,0,0,0,0,0,0,2014,Jan,March
MIDLAND FIELD,STATEN ISLAND,7.463,0,0,0,0,0,0,0,0,2014,Jan,March
SCHMUL PARK,STATEN ISLAND,7.395,0,0,0,0,0,0,0,0,2014,Jan,March
BRIDGE PARK BRONX,BRONX        ,7.156,0,0,0,0,0,0,0,0,2014,Jan,March
BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.122,0,0,0,0,0,0,0,0,2014,Jan,March
BROWER PARK,BROOKLYN     ,7.047,0,0,0,1,0,0,0,1,2014,Jan,March
JOYCE KILMER PARK,BRONX        ,6.882,0,0,2,0,0,0,0,2,2014,Jan,March
MARIA HERNANDEZ PARK,BROOKLYN     ,6.873,0,0,0,0,0,0,0,0,2014,Jan,March
THE HIGH LINE,MANHATTAN    ,6.73,0,0,0,0,0,1,0,1,2014,Jan,March
FRIENDS FIELD,BROOKLYN     ,6.7,0,0,0,0,0,0,0,0,2014,Jan,March
LINDOWER PARK,BROOKLYN     ,6.7,0,0,0,0,0,0,0,0,2014,Jan,March
J. HOOD WRIGHT PARK,MANHATTAN    ,6.699,0,0,0,0,0,0,0,0,2014,Jan,March
WNYC TRANSMITTER PARK,BROOKLYN     ,6.611,0,0,0,0,0,0,0,0,2014,Jan,March
SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.6,0,0,0,0,0,0,0,0,2014,Jan,March
PARK AVENUE MALLS,MANHATTAN    ,6.593,0,0,0,0,0,0,0,0,2014,Jan,March
WESTWOOD PARK,STATEN ISLAND,6.563,0,0,0,0,0,0,0,0,2014,Jan,March
UNION SQUARE PARK,MANHATTAN    ,6.51,0,0,0,1,0,4,0,5,2014,Jan,March
CONCRETE PLANT PARK,BRONX        ,6.438,0,0,0,0,0,0,0,0,2014,Jan,March
COL. YOUNG PLAYGROUND,MANHATTAN    ,6.423,0,0,0,1,0,0,0,1,2014,Jan,March
BRADYS POND PARK,STATEN ISLAND,6.402,0,0,0,0,0,0,0,0,2014,Jan,March
COOPER PARK,BROOKLYN     ,6.401,0,0,0,0,0,0,0,0,2014,Jan,March
GRAVESEND PARK,BROOKLYN     ,6.379,0,0,1,1,0,0,0,2,2014,Jan,March
DR. CHARLES R. DREW PARK,QUEENS       ,6.336,0,0,0,0,0,0,0,0,2014,Jan,March
TRINITY PARK,BROOKLYN     ,6.3,0,0,0,0,0,0,0,0,2014,Jan,March
MADISON SQUARE PARK,MANHATTAN    ,6.234,0,0,0,0,0,1,0,1,2014,Jan,March
ELMHURST PARK,QUEENS       ,6.219,0,0,0,0,0,0,0,0,2014,Jan,March
FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.194,0,0,0,0,0,0,0,0,2014,Jan,March
AMBROSINI FIELD,BRONX        ,6.1,0,0,0,0,0,0,0,0,2014,Jan,March
CLEARVIEW PARK,QUEENS       ,6.05,0,0,0,0,0,0,0,0,2014,Jan,March
RALPH DEMARCO PARK,QUEENS       ,6.03,0,0,0,0,0,0,0,0,2014,Jan,March
