PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
VAN DYKE PLAYGROUND,BROOKLYN     ,1.398,0,0,0,0,0,0,0,0,2015,Jul,Sept
WILLIAMSBRIDGE SQUARE,BRONX        ,1.395,0,0,0,0,0,0,0,0,2015,Jul,Sept
PEOPLE'S PARK,BRONX        ,1.394,0,0,0,0,0,0,0,0,2015,Jul,Sept
DOME PLAYGROUND,BROOKLYN     ,1.385,0,0,0,0,0,0,0,0,2015,Jul,Sept
RUSSELL PEDERSEN PLAYGROUND,BROOKLYN     ,1.384,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. CATHERINE'S PARK,MANHATTAN    ,1.383,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOWARD VON DOHLEN PLAYGROUND,QUEENS       ,1.381,0,0,0,0,0,0,0,0,2015,Jul,Sept
HAVEN AVENUE,MANHATTAN    ,1.38,0,0,0,0,0,0,0,0,2015,Jul,Sept
NAUTILUS PLAYGROUND BROOKLYN,BROOKLYN     ,1.38,0,0,0,0,0,0,0,0,2015,Jul,Sept
ARCILLA PLAYGROUND,BRONX        ,1.377,0,0,0,0,0,0,0,0,2015,Jul,Sept
FOUNTAIN OF YOUTH PLAYGROUND,BRONX        ,1.375,0,0,0,0,0,0,0,0,2015,Jul,Sept
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,STATEN ISLAND,1.375,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARTINEZ PLAYGROUND,BROOKLYN     ,1.373,0,0,0,0,0,0,0,0,2015,Jul,Sept
HILLSIDE PARK BROOKLYN,BROOKLYN     ,1.371,0,0,0,0,0,0,0,0,2015,Jul,Sept
LT. LIA PLAYGROUND,STATEN ISLAND,1.37,0,0,1,0,0,0,0,1,2015,Jul,Sept
PLAYGROUND ONE FORTY,QUEENS       ,1.37,0,0,0,0,0,0,0,0,2015,Jul,Sept
CRACK IS WACK PLAYGROUND,MANHATTAN    ,1.369,0,0,0,0,0,0,0,0,2015,Jul,Sept
CASTLE HILL PLAYGROUND,BRONX        ,1.368,0,0,0,0,0,0,0,0,2015,Jul,Sept
ADAM YAUCH PARK,BROOKLYN     ,1.363,0,0,0,0,0,1,0,1,2015,Jul,Sept
HOPE BALLFIELD,BROOKLYN     ,1.363,1,0,0,0,0,0,0,1,2015,Jul,Sept
DR. RONALD MCNAIR PARK,BROOKLYN     ,1.361,0,0,0,0,0,0,0,0,2015,Jul,Sept
ADMIRAL FARRAGUT PLAYGROUND,BRONX        ,1.359,0,0,0,0,0,0,0,0,2015,Jul,Sept
MCDONALD PLAYGROUND STATEN ISLAND,STATEN ISLAND,1.352,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON VANDALIA AVENUE,BROOKLYN     ,1.351,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRESH MEADOWS PLAYGROUND,QUEENS       ,1.35,0,0,0,0,0,0,0,0,2015,Jul,Sept
PLAYGROUND EIGHTY LXXX,QUEENS       ,1.35,0,0,0,0,0,0,0,0,2015,Jul,Sept
PRINTER'S PARK,BRONX        ,1.341,0,0,0,0,0,0,0,0,2015,Jul,Sept
RENAISSANCE PLAYGROUND,MANHATTAN    ,1.34,0,0,0,0,0,0,0,0,2015,Jul,Sept
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,BROOKLYN     ,1.336,0,0,0,3,0,0,0,3,2015,Jul,Sept
REMSEN PLAYGROUND,BROOKLYN     ,1.333,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARC AND JASON'S PLAYGROUND,BROOKLYN     ,1.326,0,0,0,0,0,0,0,0,2015,Jul,Sept
VETERANS PARK STATEN ISLAND,STATEN ISLAND,1.324,0,0,0,0,0,0,0,0,2015,Jul,Sept
LYONS SQUARE PLAYGROUND,BRONX        ,1.322,0,0,0,0,0,0,0,0,2015,Jul,Sept
AGNES HAYWOOD PLAYGROUND,BRONX        ,1.32,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARION HOPKINSON PLAYGROUND,BROOKLYN     ,1.32,0,0,0,0,0,0,0,0,2015,Jul,Sept
AMPERE PLAYGROUND,QUEENS       ,1.318,0,0,0,0,0,0,0,0,2015,Jul,Sept
POTOMAC PLAYGROUND,BROOKLYN     ,1.315,0,0,0,0,0,0,0,0,2015,Jul,Sept
DETECTIVE JOSEPH MAYROSE PARK,BROOKLYN     ,1.314,0,0,0,1,0,0,0,1,2015,Jul,Sept
PAUL RAIMONDA PLAYGROUND,QUEENS       ,1.31,0,0,0,0,0,0,0,0,2015,Jul,Sept
PRALL PLAYGROUND,STATEN ISLAND,1.307,0,0,0,0,0,0,0,0,2015,Jul,Sept
HORACE HARDING PLAYGROUND,QUEENS       ,1.304,0,0,0,0,0,0,0,0,2015,Jul,Sept
DEAN PLAYGROUND,BROOKLYN     ,1.3,0,0,0,0,0,0,0,0,2015,Jul,Sept
SEVEN GABLES PLAYGROUND,QUEENS       ,1.297,0,0,0,0,0,0,0,0,2015,Jul,Sept
TRIBOROUGH BRIDGE PLAYGROUND B,QUEENS       ,1.295,0,0,0,0,0,0,0,0,2015,Jul,Sept
LITTLE FLOWER PLAYGROUND,MANHATTAN    ,1.294,0,0,0,0,0,0,0,0,2015,Jul,Sept
DONGAN PLAYGROUND,STATEN ISLAND,1.293,0,0,0,0,0,0,0,0,2015,Jul,Sept
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,BROOKLYN     ,1.29,0,0,0,0,0,1,0,1,2015,Jul,Sept
EAST RIVER PLAYGROUND,MANHATTAN    ,1.285,0,0,0,0,0,0,0,0,2015,Jul,Sept
SAMUEL H. YOUNG PARK,BRONX        ,1.285,0,0,0,0,0,0,0,0,2015,Jul,Sept
BOWNE PLAYGROUND,QUEENS       ,1.28,0,0,0,0,0,0,0,0,2015,Jul,Sept
SPACE TIME PLAYGROUND,BRONX        ,1.28,1,0,0,2,0,0,0,3,2015,Jul,Sept
RUDD PLAYGROUND,BROOKLYN     ,1.278,0,0,0,0,0,0,0,0,2015,Jul,Sept
WILLOW LAKE PLAYGROUND,QUEENS       ,1.277,0,0,0,0,0,0,0,0,2015,Jul,Sept
MURPHY'S BROTHER'S PLAYGROUND,MANHATTAN    ,1.275,0,0,0,0,0,0,0,0,2015,Jul,Sept
COONEY GRAUER FIELD,BRONX        ,1.274,0,0,0,0,0,0,0,0,2015,Jul,Sept
WAGNER PLAYGROUND,MANHATTAN    ,1.27,0,0,0,0,0,0,0,0,2015,Jul,Sept
EMERALD PLAYGROUND,QUEENS       ,1.265,0,0,0,0,0,0,0,0,2015,Jul,Sept
CHARLIE'S PLACE,BROOKLYN     ,1.26,0,0,0,0,0,0,0,0,2015,Jul,Sept
PELHAM BAY LITTLE LEAGUE,BRONX        ,1.26,0,0,0,0,0,0,0,0,2015,Jul,Sept
GREENE PLAYGROUND,BROOKLYN     ,1.259,0,0,0,0,0,0,0,0,2015,Jul,Sept
TANAHEY PLAYGROUND,MANHATTAN    ,1.254,0,0,0,0,0,1,0,1,2015,Jul,Sept
ALBERT J. PARHAM PLAYGROUND,BROOKLYN     ,1.253,0,0,0,0,0,0,0,0,2015,Jul,Sept
PARKSIDE PLAYGROUND BROOKLYN,BROOKLYN     ,1.252,0,0,1,0,0,0,0,1,2015,Jul,Sept
